сұрақ,жауап
" Наталья сәуір айында 48 досына клип сатты, ал мамыр айында клиптердің екі есе азын сатты. Наталья сәуір және мамыр айларында барлығы қанша клип сатты?", Наталья мамыр айында 48/2 = <<48/2=24>>24 клип сатты. Наталья сәуір және мамыр айларында барлығы 48+24 = <<48+24=72>>72 клип сатты. #### 72
 Вен бала күтімі үшін сағатына 12 доллар табады. Кеше ол бала күтімімен небәрі 50 минут айналысты. Ол қанша табыс тапты?," Вен минутына 12/60 = $<<12/60=0.2>>0.2 табады. 50 минут жұмыс істеп, ол 0.2 x 50 = $<<0.2*50=10>>10 табады. #### 10"
" Бетти 100 доллар тұратын жаңа әмиянға ақша жинап жатыр. Беттиде оған қажетті ақшаның тек жартысы ғана бар. Ата-анасы оған осы мақсатта 15 доллар, ал ата-әжесі ата-анасынан екі есе көп беруді шешті. Беттиге әмиянды сатып алу үшін тағы қанша ақша қажет?",Бастапқыда Беттиде тек 100 / 2 = $<<100/2=50>>50 болған. Беттидің ата-әжесі оған 15 * 2 = $<<15*2=30>>30 берген. Бұл Беттиге тағы 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 қажет дегенді білдіреді. #### 5
" Джули 120 беттік кітап оқып отыр. Кеше ол 12 бет оқи алды, ал бүгін кешегіден екі есе көп бет оқыды. Егер ол ертең қалған беттердің жартысын оқығысы келсе, қанша бет оқуы керек?"," Майла бүгін 12 x 2 = <<12*2=24>>24 бет оқыды. Кешеден бері ол барлығы 12 + 24 = <<12+24=36>>36 бет оқи алды. Оқуға 120 - 36 = <<120-36=84>>84 бет қалды. Ертең қалған беттердің жартысын оқығысы келетіндіктен, ол 84/2 = <<84/2=42>>42 бет оқуы керек. #### 42"
 Джеймс аптасына екі рет екі түрлі досына 3 беттен хат жазады. Ол жылына қанша бет жазады?,"Ол әр досына аптасына 3*2=<<3*2=6>>6 бет жазады. Сонымен, ол аптасына 6*2=<<6*2=12>>12 бет жазады. Бұл оның жылына 12*52=<<12*52=624>>624 бет жазатынын білдіреді. #### 624"
" Марктің гүлді бағы бар. Ол оған үш түрлі түсті өсімдік отырғызды. Оның оны сары, ал күлгін түстілері 80%-ға көп. Жасыл гүлдер сары және күлгін гүлдердің санынан 25%-ға ғана аз. Марктің бақшасында қанша гүл бар?"," 80/100 * 10 = <<80/100*10=8>>сары гүлдерге қарағанда күлгін гүлдер саны 8-ге артық. Сонымен, Марктың бақшасында 10 + 8 = <<10+8=18>>18 күлгін гүл бар. Күлгін және сары гүлдердің қосындысы 10 + 18 = <<10+18=28>>28 гүлге тең. Бұл Марктың бақшасында 25/100 * 28 = <<25/100*28=7>>7 жасыл гүл бар дегенді білдіреді. Сонымен, Марктың бақшасында барлығы 28 + 7 = <<28+7=35>>35 өсімдік бар. #### 35"
"Альберт бір күнде қанша пицца жей алатынын ойлап отыр. Ол 2 үлкен және 2 кішкентай пицца сатып алады. Үлкен пиццада 16 тілім, ал кішкентай пиццада 8 тілім бар. Егер ол бәрін жесе, сол күні қанша тілім жейді?"," Ол ең үлкен пиццаның 32-сін жейді, себебі 2 x 16 = <<2*16=32>>32 Ол кішкентай пиццаның 16-сын жейді, себебі 2 x 8 = <<2*8=16>>16 Ол 48 дана жейді, себебі 32 + 16 = <<32+16=48>>48 #### 48"
" Кен интернатта оқитын ағасына жіберу үшін көмек пакетін дайындады. Кен таразыға қорап қойды, содан кейін қорапқа салмағын 2 фунтқа жеткізу үшін желе бұршақтарын құйды. Содан кейін салмағын үш есеге арттыру үшін жеткілікті брауни қосты. Содан кейін тағы 2 фунт желе бұршақтарын қосты. Соңында, салмағын тағы екі есеге арттыру үшін жеткілікті желе құрттарын қосты. Тәттілер қорабының соңғы салмағы фунтпен есептегенде қандай болды?","Бастапқы 2 фунт желе бұршақтарына ол салмағын үш есеге арттыратындай етіп брауни қосты, нәтижесінде салмағы 2*3=<<2*3=6>>6 фунтқа жетті. Содан кейін ол тағы 2 фунт желе бұршақтарын қосты, нәтижесінде салмағы 6+2=<<6+2=8>>8 фунтқа жетті. Соңында, салмағын тағы екі есеге арттыратындай етіп желе құрттарын қосты, нәтижесінде салмағы 8*2=<<8*2=16>>16 фунтқа жетті. #### 16"
" Алексис жаңа жұмысқа орналасуға өтініш беріп, сұхбатқа кию үшін жаңа іскерлік киім сатып алды. Ол 200 долларлық бюджеті бар универмагқа барып, 30 долларын түймелі көйлекке, 46 долларын костюм шалбарға, 38 долларын костюм пальтоға, 11 долларын шұлыққа және 18 долларын белдікке жұмсады. Ол сондай-ақ аяқ киім сатып алды, бірақ түбіртегін жоғалтып алды. Оның бюджетінен 16 доллар қалды. Алексис аяқ киімге қанша төледі?"," - Алексистің аяқ киімге төлеген сомасы болсын. Ол S + 30 + 46 + 38 + 11 + 18 = S + <<+30 + 46 + 38 + 11 + 18=143>>143 жұмсады. Ол бюджетінің 16 долларынан басқасының барлығын пайдаланды, сондықтан S + 143 = 200 - 16 = 184. Осылайша, Алексис аяқ киімге S = 184 - 143 = $<<184-143=41>>41 төледі. #### 41"
" Тина сағатына 18,00 доллар табады. Егер ол ауысымда 8 сағаттан артық жұмыс істесе, ол артық жұмыс істеуге құқылы, ол сіздің сағаттық жалақыңыз + сағаттық жалақыңыздың 1/2 бөлігімен төленеді. Егер ол 5 күн бойы күн сайын 10 сағат жұмыс істесе, ол қанша ақша табады?","Ол күніне 8 сағат жұмыс істейді, сағатына 18 доллар табады, сондықтан ол 8 сағаттық ауысымда 8*18 = $<<8*18=144.00>>144.00 табады. Ол күніне 10 сағат жұмыс істейді және 8 сағаттан асқан кез келген жұмыс артық жұмыс істеуге құқылы, сондықтан ол 10-8 = <<10-8=2>>2 сағат артық жұмыс істейді. Артық жұмыс уақыты бір жарым уақыт ретінде есептеледі, сондықтан ол сағатына 18 доллар табады, сондықтан оның артық жұмыс уақыты 18*.5 = $<<18*.5=9.00>>9.00. Оның артық жұмыс уақыты 18+9 = $<<18+9=27.00>>27.00. Оның базалық жалақысы 8 сағаттық ауысымда 144.00 доллар және ол 5 күн жұмыс істейді және 5 * $144 = $<<144*5=720.00>>720.00 табады. Оның артық жұмыс уақыты сағатына 27.00 доллар және ол 2 сағат жұмыс істейді. күніне артық жұмыс уақыты және 27*2 = $<<27*2=54.00>>54.00 артық жұмыс уақыты ақысын құрайды, яғни 5 күн ішінде 2 сағат артық жұмыс уақыты ақысын төлеу оның 54*5 = $270.00 алатынын білдіреді, 5 күнде оның негізгі жалақысы $720.00 құрайды және ол артық жұмыс уақыты ақысынан $270.00 алады, сондықтан ол $720 + $270 = $<<720+270=990.00>>990.00 табады #### 990"
